,state_name,state_initial,state_num,year,poverty_rate,unemploy_rate,justice_rate,violent_rate,property_rate,welfare_povcap,welfare_percap
22,Minnesota,MN,24,2010,11.6,5.9,2.5454145022207464,0.23565063677452933,2.5689214563152865,17.412438421511936,2.019842856895384
23,Mississippi,MS,25,2010,22.4,7.2,2.0603870969262235,0.269411569851758,2.9817393962326144,7.787318258641648,1.744359289935729
24,Missouri,MO,26,2010,15.3,6.4,1.8291755718086837,0.4545049728367735,3.3424761348197976,7.986872263184021,1.2219914562671552
25,Montana,MT,27,2010,14.6,4.8,1.5787212033548097,0.27182882354544324,2.5405345933216714,9.027254521415468,1.3179791601266584
26,Nebraska,NE,28,2010,12.9,4.6,1.3647855310236112,0.27897692427940984,2.668482057258046,9.665107950641504,1.246798925632754
27,Nevada,NV,29,2010,14.9,9.3,1.3458381330703577,0.6601897198976467,2.7727894227549164,4.825160149108545,0.7189488622171732
28,New Hampshire,NH,30,2010,8.3,5.4,0.8800657673900067,0.16692462267289002,2.1858164193681167,17.470429424878184,1.450045642264889
29,New Jersey,NJ,31,2010,10.3,7.2,1.945595070416933,0.30746253798250484,2.080153682402279,15.232974651367558,1.5689963890908587
30,New Mexico,NM,32,2010,20.4,5.7,1.772770426707586,0.5873429199167665,3.4265060894566957,10.425560966785065,2.1268144372241533
31,New York,NY,33,2010,14.9,6.2,1.1683965208441,0.3916364834871642,1.9389864204300666,17.15771185666856,2.556499066643615
32,North Carolina,NC,34,2010,17.5,8.0,1.7637567596163195,0.3619368178825803,3.4333393598690995,6.8141602731150215,1.1924780477951287
33,North Dakota,ND,35,2010,13.0,2.7,1.1798177008070074,0.2242428284534952,1.762966585891821,9.447316502295271,1.2281511452983853
34,Ohio,OH,36,2010,15.8,7.3,2.8730790012527585,0.315148115974784,3.2443894518714074,9.259734142788094,1.463037994560519
35,Oklahoma,OK,37,2010,16.9,5.1,1.6851174299404459,0.47838478445423654,3.4076571353190364,8.517755589888743,1.4395006946911975
36,Oregon,OR,38,2010,15.8,8.1,1.8601568550909955,0.25159668126908963,3.0079028198372324,8.945299501448714,1.4133573212288968
37,Pennsylvania,PA,39,2010,13.4,6.0,2.5350118525767904,0.36593041075716143,2.171501263456679,13.229850483249106,1.7727999647553803
38,Rhode Island,RI,40,2010,14.0,7.0,2.7505813793515688,0.25627182841078255,2.5532302489945056,15.788110760068871,2.210335506409642
39,South Carolina,SC,41,2010,18.2,7.8,1.510687961922915,0.5964213425132059,3.8917312333181395,7.340257457554949,1.3359268572750007
40,South Dakota,SD,42,2010,14.4,4.1,1.9053392447124728,0.26783767027786015,1.8479083911851264,8.317999102579076,1.1977918707713873
41,Tennessee,TN,43,2010,17.7,6.9,1.8804499575237152,0.6124169218469403,3.6525671206334356,8.924102428297154,1.5795661298085963
